link_id;link;article_title;article_author;post_date;article_excerpt;categories;site_manual;link_type;img_type;img_url_orig;author_image;author_url;create_date1;create_date;concatenate;notion_id;img_url3;img_url
L00010;https://twitter.com/real7a/status/819658716421246977;"Split-second #data mapping https://t.co/6xFMXtyobP @MapD is a company to watch. Lightning fast #dataviz &amp; #analytics w/ #geospatial built in";@datametrician;2017-01-12;"Split-second #data mapping https://t.co/6xFMXtyobP @MapD is a company to watch. Lightning fast #dataviz &amp; #analytics w/ #geospatial built in";"geospatial;article;news";https://twitter.com;twitter;jpg;/img/article_images/img-L00010.jpg;http://pbs.twimg.com/profile_images/470143287/avatar7a_red_normal.jpg;http://nucleart.net;No;2017-01-12;"article;news;geospatial";0;/img/article_images/img-l00010.jpg;/img/article_images/img-l00010.jpg
L00014;https://twitter.com/jamisnemo/status/817559586387460096;Updated my @tableau JS API tree with v10 getData() features and added #d3js tree for fun... https://t.co/nyN1UmGLRA https://t.co/vhzUVU1Vz4;Chris DeMartini;2017-01-07;Updated my @tableau JS API tree with v10 getData() features and added #d3js tree for fun... https://t.co/nyN1UmGLRA https://t.co/vhzUVU1Vz4;"tableau;data-viz;radialtree;post;concept";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/1527201903020371969/NmHQv3Es_normal.jpg;NA;No;2017-01-07;"post;data-viz;concept;technology;tableau;radial-tree";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-64.jpg
L00015;https://twitter.com/infogram/status/822959467587313666;This map guides you through the early stages of data visualization;Infogram;2017-01-22;including cartoons of 75 key charts https://t.co/mNBDBDdzbe #dataviz https://t.co/wsypS3PZ7f;"data-viz;infographic;concept";https://twitter.com;twitter;rep;/img/article_images/img-L00015.jpg;http://pbs.twimg.com/profile_images/923178909423763456/zGgIkJL__normal.jpg;https://infogram.com;No;2017-01-22;"post;infographic;data-viz;concept";0;/img/article_images/img-L00015.jpg;/img/article_images/img-l00015.jpg
L00017;https://twitter.com/alevergara78/status/824356368694050819;Nice tableau map on political conflicts in Africa https://t.co/nDkGvUTThI #Tableau #Vizoftheday #dataviz https://t.co/JjBZ982wuV;Guilherme R. Storck;2017-01-25;Nice tableau map on political conflicts in Africa https://t.co/nDkGvUTThI #Tableau #Vizoftheday #dataviz https://t.co/JjBZ982wuV;"data-viz;infographic;concept";https://twitter.com;twitter;rep;/img/article_images/img-L00017.jpg;http://pbs.twimg.com/profile_images/477167045772312577/3q1ssMVN_normal.jpeg;http://cl.linkedin.com/in/alevergara;No;2017-01-25;"post;infographic;data-viz;concept";0;/img/article_images/img-L00017.jpg;/img/article_images/img-l00017.jpg
L00019;https://twitter.com/alevergara78/status/824223889135988737;One to poke around - FT interactive github repos https://t.co/xpJyQwfbzK #ft #dataviz #ddj #repo;Tony Hirst;2017-01-25;One to poke around - FT interactive github repos https://t.co/xpJyQwfbzK #ft #dataviz #ddj #repo;"data-viz;site;how-to;technique";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/477167045772312577/3q1ssMVN_normal.jpeg;http://cl.linkedin.com/in/alevergara;No;2017-01-25;"site;how-to;data-viz;technique";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-70.jpg
L00020;https://twitter.com/DataSciNews/status/824796371509198852;Roll Your Own Charting System Using Vega-Lite and Google Spreadsheets | @tpreusse https://t.co/v0hgRh07zs;Sebastian Gutierrez;2017-01-27;Roll Your Own Charting System Using Vega-Lite and Google Spreadsheets | @tpreusse https://t.co/v0hgRh07zs;"data-viz;methodology";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/378800000774774259/d7d4e2bd0448f2c3ae4e8acd28f25927_normal.png;http://datascienceweekly.org;No;2017-01-27;"post;how-to;data-viz;methodology;development";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-03.jpg
L00021;https://twitter.com/DataSciNews/status/824796272498470912;Awesome list of ML videos by @dustinvtran  https://t.co/6VWxtogMFk;Artëm Sobolev;2017-01-27;"Awesome list of ML videos by @dustinvtran 
https://t.co/6VWxtogMFk";"ml;technique;video;list";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/378800000774774259/d7d4e2bd0448f2c3ae4e8acd28f25927_normal.png;http://datascienceweekly.org;No;2017-01-27;"video;list;technique;ml";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-56.jpg
L00022;https://twitter.com/DataSciNews/status/824259135550226433;Colleagues' new paper on using deep networks for guiding an automated theorem prover is up on Arxiv: https://t.co/VAVv9fDFQm;François Chollet;2017-01-25;Colleagues' new paper on using deep networks for guiding an automated theorem prover is up on Arxiv: https://t.co/VAVv9fDFQm;"paper;research;dl;technique";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/378800000774774259/d7d4e2bd0448f2c3ae4e8acd28f25927_normal.png;http://datascienceweekly.org;No;2017-01-25;"paper;research;technique;dl";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-08.jpg
L00024;https://twitter.com/alexmacy/status/822985104553222144;v1.1 of the d3 plugin for #SublimeText. Now including the entire #d3js library in a context menu! https://t.co/g7167QY1Fl https://t.co/0qt3Ned90u;alex;2017-01-22;"v1.1 of the d3 plugin for #SublimeText. 
Now including the entire #d3js library in a context menu!
https://t.co/g7167QY1Fl https://t.co/0qt3Ned90u";"d3js;tool;technique;feature";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/783899236031016961/9jhbsQjy_normal.jpg;http://bl.ocks.org/alexmacy;No;2017-01-22;"code;data-viz;tool;technique;feature;technology;development;d3js";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-38.jpg
L00025;https://twitter.com/micahstubbs/status/825969151327952896;this DataURL method to download SVGs works in Firefox 51.0.1 🎉;@micahstubbs;2017-01-30;"🎩 @currankelleher #d3js
👀 @JussiEkholm @dingfuus 
https://t.co/H24978KJgq https://t.co/JTtFHgsMuK";"post;technique;svg;data-viz";https://twitter.com;twitter;rep;/img/images/geometric-pattern-06.jpg;http://pbs.twimg.com/profile_images/1519411395627954177/erykysK7_normal.jpg;http://bl.ocks.org/micahstubbs;No;2017-01-30;"post;data-viz;technique;technology;svg";0;/img/images/geometric-pattern-06.jpg;/img/images/geometric-pattern-11.jpg
